all_order_id,all_order_type,custLkp,all_datetime,all_store,all_tender_amt,all_card_method,scanandgo_order_id,scanandgo_datetime,scanandgo_store,scanandgo_tender_amt,scanandgo_card_method
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,f710766d-959a-45b5-ba81-9507b7bba788,2025-02-11T16:22:58-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,42bbe6fe-a019-4c44-8e66-9916ae362ce8,2025-02-11T23:13:28-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,ad1de718-e7b9-43c1-b4a8-690003976f39,2025-02-11T15:14:35-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,ad1de718-e7b9-43c1-b4a8-690003976f39,2025-02-11T15:14:35-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,9e8e4e27-0ea1-4550-be3c-dc83c7cfbb64,2025-02-11T18:16:34-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,3a16dfeb-55d7-4eaa-97a4-de9161697a8f,2025-02-11T17:49:57-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,3405808b-35d0-490c-afae-d524e52a5a27,2025-02-11T18:07:33-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,3a16dfeb-55d7-4eaa-97a4-de9161697a8f,2025-02-11T17:49:57-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,2f924e44-fb4b-4eb1-ba2f-f4bd161972bc,2025-02-11T19:16:07-06:00,5588,249.39999389648438,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,5570be08-8a0f-4c2b-a531-553717fa7d14,2025-02-11T23:16:13-06:00,5516,299.6000061035156,SCAN_AND_GO
