location,count
,11464
"36.185760,-94.128855",5
"36.332211,-94.116844",4
"36.185760,-80.399590",4
"41.065627,-73.815592",2
"35.048631000,-89.813533000",2
"40.638377000,-75.443837000",1
"35.348947000,-94.348162000",1
"34.556675000,-82.677405000",1
"43.226485000,-71.475291000",1
"Salem, NH",1
