business,location,count
WALMART,,8826
SAMS,,2638
WALMART,"36.185760,-94.128855",5
WALMART,"36.185760,-80.399590",4
WALMART,"36.332211,-94.116844",4
SAMS,"41.065627,-73.815592",2
SAMS,"35.048631000,-89.813533000",2
SAMS,"34.556675000,-82.677405000",1
WALMART,"Salem, NH",1
SAMS,"43.226485000,-71.475291000",1
SAMS,"35.348947000,-94.348162000",1
SAMS,"40.638377000,-75.443837000",1
